Title,Genre,Runtime,Director,Release Date,Summary,Poster,TMDb Trailer
Im Not Ready for Christmas,"Action, Adventure, Fantasy, Sci-Fi",02:54:00,George Lucas,1999-05-19,A career-driven advertising executive suddenly finds that she has lost the ability to lie thanks to her nieces wish to Santa Claus.,https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=bD7bpG-zDJQ
Sex and the City: The Movie,"Comedy, Drama, Romance",02:58:00,Michael Patrick King,2008-05-30,"In this big-screen continuation of the hit series, Big proposes to Carrie, but the grooms cold feet threaten to ruin their relationship forever.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyMzYxMjM3OF5BMl5BanBnXkFtZTcwNjg2OTA3MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=ZaaLsOyUm_Q
The Mummy,"Action, Adventure, Fantasy, Thriller",02:59:00,Alex Kurtzman,2017-06-09,"An ancient princess angers her father and gets mummified. When modern military men find her, they unleash lust, power and the anger of the gods.",https://m.media-amazon.com/images/M/MV5BMTkwMTgwODAxMl5BMl5BanBnXkFtZTgwNTEwNTQ3MDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=IjHgzkQM2Sg
Prospect,"Drama, Sci-Fi, Thriller, Western",02:51:00,"Christopher Caldwell, Zeek Earl",2018-11-02,A father and daughter travel to an alien moon in search of a valuable gem but are forced to alter their plans when a nefarious outlaw gets involved.,https://m.media-amazon.com/images/M/MV5BNzc5MjkzZWEtMjBmZS00NDJlLWI3N2UtNzgwYmI4ZGM5ODM5XkEyXkFqcGdeQXVyOTMwNjQ3Nzg@._V1_SX300.jpg,https://www.youtube.com/watch?v=gz3IHOTwZZg
Room on the Broom,"Animation, Comedy, Family, Fantasy",01:51:00,"Max Lang, Jan Lachauer",2013-10-30,"A gentle witch with a ginger braid offers rides to a variety of animals on her increasingly crowded broom, much to her grumpy cats chagrin.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDg3Njg4ODEyMl5BMl5BanBnXkFtZTgwMTM3MzcxMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=jwZavzhym2A
Katt Williams: American Hustle (The Movie),"Documentary, Comedy",00:59:00,"James Yukich, Brit McAdams",2007-10-26,An aspiring actor leaves Hollywood and takes to the road to do stand-up after hes cast in a series of increasingly stereotypical black roles.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MjQ0MDc5MV5BMl5BanBnXkFtZTgwNDE3NzAwNzE@._V1_SX300.jpg,https://www.youtube.com/watch?v=0gIa0CEPh6I
Citation,"Drama, Thriller",00:53:00,Kunle Afolayan,2020-11-06,A bright student in Nigeria takes on the academic establishment when she reports a popular professor who tried to rape her. Based on real events.,https://m.media-amazon.com/images/M/MV5BMzU4OTZkNjItNzQ0My00OWQ2LTkyNzctYjI2MWUyNmEzZDBkXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,https://www.youtube.com/watch?v=1eMAYynMc1w
Kabhi Alvida Naa Kehna,"Drama, Romance",00:51:00,Karan Johar,2006-08-11,"This romance follows football player Dev Saran and Maya, who are both committed to loveless marriages but long to follow their hearts and be together.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NjU1MjI3M15BMl5BanBnXkFtZTcwMzc3NTk5Mw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=dXsEIW_Jc2A
Breaking In,"Action, Thriller",01:54:00,James McTeigue,2018-05-11,A mother turns the tables on a group of robbers who have kidnapped her kids inside a fortified house.,https://m.media-amazon.com/images/M/MV5BNTQwNjc3NjE5MF5BMl5BanBnXkFtZTgwNTEzMDg5NDM@._V1_SX300.jpg,https://www.youtube.com/watch?v=DsDVOt3M7OM
Greta,"Drama, Mystery, Thriller",00:55:00,Neil Jordan,2019-03-01,"When a trusting young woman returns a left-behind handbag to a lonely widow, they spark up a friendship that soon turns into something sinister.",https://m.media-amazon.com/images/M/MV5BOTg0OTVjYjUtOWUzYS00YjJjLWI3NWItMmVjNTBlMTE2ODJlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,https://www.youtube.com/watch?v=WAEoJkL_8zU
Paul,"Adventure, Comedy, Sci-Fi",00:52:00,Greg Mottola,2011-03-18,Two sci-fi freaks on a quest to discover what lies at the heart of Nevadas infamous Area 51 cross paths with an alien on the run.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNzAwMTM3MV5BMl5BanBnXkFtZTcwNTE1MTAzNA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=tav42JTdW4A
The Wolfs Call,"Action, Adventure, Sci-Fi, Thriller",00:55:00,Antonin Baudry,2019-06-20,"With nuclear war looming, a military expert in underwater acoustics strives to prove things arent as they seem -- or sound -- using only his ears.",https://m.media-amazon.com/images/M/MV5BMTA5OWMwODctY2ZiMy00MmNmLWFiMWYtM2U2ZjFmYTA2MWQ0XkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=a9Gz7Bg07u8
Clear and Present Danger,"Action, Crime, Drama, Thriller",02:56:00,Phillip Noyce,1994-08-03,"When the presidents friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",http://ia.media-imdb.com/images/M/MV5BMTUxOTk4NzUyOF5BMl5BanBnXkFtZTgwNzc3ODYxMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=3sG1tGbpT7c
Players,"Action, Crime, Thriller",02:59:00,"Mastan Alibhai Burmawalla, Abbas Alibhai Burmawalla",2012-01-06,"Learning of a fortune in gold being secretly shipped to Romania, master thieves Charlie and Riya assemble a crack team to steal it.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTQyNmQyYmYtMTU0NS00MGRiLTlhYTEtYmZiZDNkYTY4ZDQ4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,https://www.youtube.com/watch?v=WgPQ7_xsm3o
Jeff Dunham: Controlled Chaos,Comedy,01:56:00,"Matthew McNeil, Michael Simon",2011-09-25,"Politically incorrect and often raunchy humor pepper ventriloquist Dunhams live concert performance featuring characters Walter, Achmed and Peanut.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDk1NzE3NDc5M15BMl5BanBnXkFtZTgwMjIyNjA2MDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=DC0cfko6kBs
How the Grinch Stole Christmas,"Comedy, Family, Fantasy",02:53:00,Ron Howard,2000-11-17,The Grinch decides to rob Whoville of Christmas -- but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDBhNzdlODctM2JhYi00NDg4LWEzY2EtZDk2NzRmMjEwMzJmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=myTaigPrbsg
My Girl,"Comedy, Drama, Family, Romance",00:59:00,Howard Zieff,1991-11-27,This coming-of-age charmer follows a summer in the life of an 11-year-old girl who learns about love and loss as she grapples with profound changes.,https://images-na.ssl-images-amazon.com/images/M/MV5BZDllNDgzZGEtYjlkMC00Njk1LWE5MTktYzBjOGI5OTFlZmYxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=VDphy_R8z6g
Overdrive,"Action, Thriller",02:58:00,Antonio Negret,2017-10-06,Two roguish brothers penchant for stealing vintage sports cars gets them tangled in the animosity between two French mafia rivals.,https://m.media-amazon.com/images/M/MV5BMDExMTAzYmEtZjMwOC00MjIxLTkyNjMtOTZjOWIwMTI0YTc0XkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=kWqAJE-Yshs
As the Gods Will,"Adventure, Horror, Sci-Fi, Thriller",00:52:00,Takashi Miike,2014-11-15,High schooler Shun Takahatas ordinary life is shattered when his teachers head explodes and he and his classmates are forced to play deadly games.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NjA4MDQwOF5BMl5BanBnXkFtZTgwNDYyNDU0MzE@._V1_SX300.jpg,https://www.youtube.com/watch?v=OEh1fT1IH14
Monsterz,"Drama, Sci-Fi",00:59:00,Hideo Nakata,2014-05-30,A telekinetic loner able to control anyone who enters his sight meets a man immune to his powers. The world is only big enough for one of them.,https://images-na.ssl-images-amazon.com/images/M/MV5BOGNlNWYwMGUtY2UxNy00ZDdkLTk0Y2UtOTJiZWNmMTNlMjRjXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg,https://www.youtube.com/watch?v=Xf4EsivAU2A
The Replacements,"Comedy, Sport",01:52:00,Howard Deutch,2000-08-11,"In the wake of a players strike, an old-guard coach drafts a team of gridiron misfits and losers as replacements for the Washington Sentinels.",http://ia.media-imdb.com/images/M/MV5BMTQyMDQwMDgwNl5BMl5BanBnXkFtZTgwOTU5ODA5MjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=Ivh1DoSVfyo
Saga of Tanya the Evil: The Movie,"Animation, Action, Adventure, Fantasy, War",00:51:00,Yutaka Uemura,2019-05-16,"Tanya and the 203rd deploy to the Russy Federation border, where a multinational army is stirring up trouble. Allied soldier Mary Sue wants revenge.",https://m.media-amazon.com/images/M/MV5BMWI5ZDBmZDYtNTcwYy00N2Y5LWIxNDUtZThjMDI3MWIyZTRhXkEyXkFqcGdeQXVyNzEyMDQ1MDA@._V1_SX300.jpg,https://www.youtube.com/watch?v=jTWkeiIMncI
Mugamoodi,"Action, Adventure",01:54:00,Mysskin,2012-08-31,A martial arts specialist accidentally becomes a superhero when he steps in -- in costume -- to help the cops catch a criminal.,http://ia.media-imdb.com/images/M/MV5BMzExODc2OTMwOV5BMl5BanBnXkFtZTcwMDEzOTY0OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=6Q_n-o19_rA
Midnight Sun,"Drama, Romance",00:58:00,Scott Speer,2018-03-23,"Born with a fatal sensitivity to sunlight, a sheltered teen girl falls for her neighbor, but hides her condition from him as their romance blossoms.",https://m.media-amazon.com/images/M/MV5BMjg0NjU1MjgyNF5BMl5BanBnXkFtZTgwNzc5NjYyNDM@._V1_SX300.jpg,https://www.youtube.com/watch?v=fEskVQgtwaI
The Borrowers,"Adventure, Comedy, Family, Fantasy",01:54:00,Peter Hewitt,1998-02-13,"This charming tale centers on the Clock family, a clan of miniature people who secretly reside in the walls of the normal-size Lender familys abode.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MTI2NDY0N15BMl5BanBnXkFtZTcwNzk3NjQyMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=lgZQ8gyUlwI
LEnfer,"Comedy, Drama",02:58:00,Babis Makridis,2012-02-23,"In this taut drama, hoteliers Paul Prieur and his wife, Nelly, seem to have it all: a fairy-tale marriage, a successful business and idyllic surroundings. But Paul suspects his alluring spouse of having a tryst.",https://m.media-amazon.com/images/M/MV5BMjE4OTQyNzM0MV5BMl5BanBnXkFtZTgwOTU0MzgxMDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=-Xa08bewnYI
Storm: Letters van Vuur,"Adventure, Drama, Family",01:57:00,Dennis Bots,2017-01-19,"After a man is caught printing forbidden texts, his son embarks on a dangerous quest to save his father before he can be executed.",https://images-na.ssl-images-amazon.com/images/M/MV5BODkzODdhY2MtOGU1NC00ZjVjLWI5NjItYzhkYWY4NWM5NzZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTEzMjU0NA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=A7w4fSATmhc
Anaamika,Thriller,00:56:00,Sekhar Kammula,2014-05-02,"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye.",https://m.media-amazon.com/images/M/MV5BMmEzNmYxYjktYTBjOC00MTJiLTk5Y2YtZDBmOGNkZjA1ZDMzXkEyXkFqcGdeQXVyMjY1MTI1MDQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=BiGgH2nymc8
A River Runs Through It,Drama,00:54:00,Robert Redford,1992-10-30,"Director Robert Redfords Oscar-winning, nostalgic meditation about the bonds that unite and divide families is set in Montana in the early 1900s.",http://ia.media-imdb.com/images/M/MV5BMTM2Nzc5MjI4NF5BMl5BanBnXkFtZTYwNzgwMjc5._V1_SX300.jpg,https://www.youtube.com/watch?v=5Z7yeXtBQMU
Diary of a Big Man,"Comedy, Romance",00:54:00,Yuen Chor,1988-07-21,A committed bigamist concocts an elaborate scheme to keep up his double life -- until his two wives cross paths.,https://ia.media-imdb.com/images/M/MV5BMTUwNjQyNDg5N15BMl5BanBnXkFtZTcwNjE3NDEyMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=vMXBYih_I9o
Hell or High Water,"Action, Crime, Drama, Thriller, Western",01:57:00,David Mackenzie,2016-08-26,"In a desperate bid to save their family ranch, two brothers stage a series of clever bank robberies with a pair of Texas Rangers in hot pursuit.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NDA1OTA5NF5BMl5BanBnXkFtZTgwMDQ2MDM5ODE@._V1_SX300.jpg,https://www.youtube.com/watch?v=SEJuBrGzPZ4
Byzantium,"Drama, Fantasy, Horror, Thriller",02:54:00,Neil Jordan,2013-05-31,"On the run for a gruesome crime, two women take refuge in a seaside town, where their shocking secret lies waiting to be discovered.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2Nzc0NDQwMV5BMl5BanBnXkFtZTcwNjI2MjY3OQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=o5LpUfyJPvg
Jackass 2.5,"Documentary, Action, Comedy",00:56:00,Jeff Tremaine,2007-12-19,"Johnny Knoxville, Steve-O and the entire Jackass crew are back with even more inappropriate and reckless stunts, pranks and mischief.",https://images-na.ssl-images-amazon.com/images/M/MV5BODg4MTExNTY3M15BMl5BanBnXkFtZTcwMDEwMzU1MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=D2HmdYiWMeA
Axolotl Overkill,Drama,01:59:00,Helene Hegemann,2017-06-29,"Reeling from her mothers death, a troubled teen drifts into a hedonistic world of excess as she pushes her limits in the company of dubious adults.",https://m.media-amazon.com/images/M/MV5BY2I5YWFmNGQtYTcxMy00MjBjLTkxN2UtMjEzNWRiYTdiNmQ5XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=xiW1nxB1fxY
Outbreak,"Action, Drama, Thriller",00:56:00,Wolfgang Petersen,1995-03-10,"In this doomsday thriller, an Army virologist tries to thwart a global biological meltdown in the form of a killer virus infesting a California town.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTg1Mzk1NjAtNGFlOS00NzdlLWI0NTgtYzlmNTUzZGQ0NjYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=AgZ5goJibn0
Isa Pa with Feelings,"Comedy, Romance",01:50:00,Prime Cruz,2019-10-25,"When an aspiring architect falls for her Deaf neighbor, they develop a connection and set out to form their own love language despite their differences.",https://m.media-amazon.com/images/M/MV5BOGNjOTg3NzItOTQ2YS00MmUwLThlODctMjQzMTcyZjRkNWY5XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=66fBNmD0t00
Grace,"Drama, Horror, Thriller",02:52:00,Paul Solet,2009-11-07,"Jealous over an internet idol who rises to viral fame, a faded star and her obsessed fan hatch a devious plan that yields unexpected results.",https://m.media-amazon.com/images/M/MV5BODI4MDU0MTI5OV5BMl5BanBnXkFtZTcwNzEzODUyMg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=OQIAdsmS-D4
American Mary,"Drama, Horror",01:51:00,"Sylvia Soska, Jen Soska",2013-01-11,A medical student whos piling up debt jumps at the chance when shes offered a lucrative opportunity to perform extreme body-modification surgeries.,http://ia.media-imdb.com/images/M/MV5BODM4ODk4MTU2MV5BMl5BanBnXkFtZTcwNTk0MzczOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=0zua8vbLLqU
Silence,"Drama, History",01:54:00,Martin Scorsese,2017-01-13,"Two Portuguese priests go to Japan to look for their missing mentor, but their search is hindered by a regime thats hostile to Western culture.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjY3OTk0NjA2NV5BMl5BanBnXkFtZTgwNTg3Mjc2MDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=cuTjBL28l0U
The Concert,"Comedy, Drama, Music",01:53:00,Radu Mihaileanu,2009-11-04,This uplifting comedy follows a fallen maestro who seizes a chance to reunite his orchestra 30 years after politics cut short his music career.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTMwNDc5MzYtYjYxMy00OGE5LWI3YmQtN2RmZDU2ZWNhMjFhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5Mjc1MDQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=3aait4aOxP0
Beach Rats,Drama,00:50:00,Eliza Hittman,2018-01-25,"A 19-year-old wrestling with questions about his sexuality finds himself torn between his macho friends, his family and the older men he meets online.",https://images-na.ssl-images-amazon.com/images/M/MV5BZmZiM2RmMWUtNjcyZi00ZDcxLWE3ZjktY2VlYTk3Y2I0NTZjXkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=df0TQJBkPP4
Ordinary World,"Comedy, Drama, Music",02:59:00,Lee Kirk,2016-10-14,A suburban dad having a midlife crisis throws a lavish 40th birthday party to celebrate his punk-rock past but discovers its not easy going back.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4MDM4MTU0Ml5BMl5BanBnXkFtZTgwMTg4NzgwMDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=hkmXMawXkrU
Rogue Warfare,"Action, War",00:51:00,Mike Gunther,2020-03-13,An elite international squad of uniquely skilled special forces is assembled to combat a rising underground terrorist threat in the Middle East.,https://m.media-amazon.com/images/M/MV5BNzIyYzk1ZjAtMzJiYS00YTYyLTg0MDItMWYzMjM3ZGYyYmQ1XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,https://www.youtube.com/watch?v=FeAJwJwqNQo
A Dramatic Night,"Comedy, Romance",02:52:00,Gi-ho Ha,2015-11-01,"After two dumpees share a night together, they make plans to meet nine more times before leaving each others lives for good.",https://images-na.ssl-images-amazon.com/images/M/MV5BZDk5Y2NmYjEtNjljMC00ZDQ1LWIyODktMjkxOWQwOTk3ZDVlXkEyXkFqcGdeQXVyMjAwMzU2MDY@._V1_SX300.jpg,https://www.youtube.com/watch?v=gP0NIi65Jv8
Indian Horse,"Drama, Sport",00:57:00,Stephen S. Campanelli,2018-04-13,"Stripped of his heritage at a residential school, an indigenous student finds refuge on the rink when he discovers a passion for hockey.",https://m.media-amazon.com/images/M/MV5BNjlkMjYzMjktMjFmOS00NzA3LWE2OGYtMDAxOTIwNTM3Y2M3XkEyXkFqcGdeQXVyODc1NDEyMzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=02cyFlnvA4s
Almost Love,"Comedy, Drama, Romance",02:57:00,Mike Doyle,2020-08-02,A close crew of striving New Yorkers experiences both joy and heartache in their romantic and professional lives.,https://m.media-amazon.com/images/M/MV5BNTJiYmJiODEtMDlhMi00N2IxLTgxNWMtOTQ0NDQ0ODZiZDM3XkEyXkFqcGdeQXVyNDM2NTg0OTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=c16v_rAOsvs
My Summer Prince,"Comedy, Family, Romance",00:50:00,Peter Sullivan,2016-08-06,"When a party-boy prince lands in a PR crisis, an assistant steps in for her boss to help repair his image â€” until a romantic opportunity arises.",https://m.media-amazon.com/images/M/MV5BNjYwMDc2NDg0MV5BMl5BanBnXkFtZTgwMjcwMzk0OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=nQFwgx0z2Uk
Funan,"Animation, War",01:53:00,Denis Do,2019-06-07,"Separated from their young son during the brutal Khmer Rouge revolution, a couple must find ways to endure while searching for their child.",https://m.media-amazon.com/images/M/MV5BYjRjZGUzZTUtN2I2Yi00OGQ1LWE3NzctZmI2N2Q1MGY0N2Y2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=EQY3iNOiSN0
Summer Camp,Horror,00:50:00,Alberto Marini,2016-06-10,"The counselors at a picturesque summer camp in Spain fall victim one by one to a mysterious virus that infects them with murderous, zombie-like rage.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMDAzNTE4Nl5BMl5BanBnXkFtZTgwNTExNjY3NjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=uUvjk7tHDSs
Sammy 2,"Animation, Adventure, Family",02:59:00,"Mimi Maynard, Vincent Kesteloot, Ben Stassen",2013-12-13,"In this animated sequel, poachers separate leatherback turtle pals Sammy and Ray, shipping them off for display in an aquarium show.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNjc2MDIwOV5BMl5BanBnXkFtZTgwODMwNzA2MDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=uSEVHO_k9Z8
Operation Mekong,"Action, Adventure, Crime, Drama, History, Thriller",01:50:00,Dante Lam,2016-09-30,"In a dangerous area of the Mekong River, a drug raid ending in 13 deaths arouses the suspicions of a narcotics officer who sets out to find the truth.",https://images-na.ssl-images-amazon.com/images/M/MV5BZGQ4ZjA2ZTktMGI2NS00OTA2LWJmZjktZDAyYWRjOTBmZjFkXkEyXkFqcGdeQXVyNDQ4MDgzNzM@._V1_SX300.jpg,https://www.youtube.com/watch?v=vcyef27rZ-w
The Aerial,"Drama, Fantasy, Sci-Fi",02:55:00,Esteban Sapir,2007-04-19,"In the City Without a Voice, only faceless singer the Voice can still vocalize. Everyone else has lost the power of speech as they let Mr. TVs broadcasts speak for them. But when Mr. TV kidnaps the Voice, things change.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzM2NmVmZjAtM2ZiNy00ZmY0LTg2MDctM2NiZTJlNzQyZjUwL2ltYWdlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,https://www.youtube.com/watch?v=l6ATFt4eE30
Operation Finale,"Biography, Drama, History, Thriller, War",02:52:00,Chris Weitz,2018-08-29,"In 1960, Israeli spies undertake a daring mission to capture notorious Nazi war criminal Adolf Eichmann and bring him to justice. Based on real events.",https://m.media-amazon.com/images/M/MV5BYzE1YjI2MjctZTY2Zi00NDBhLWIzYmMtNzMzMDgwZjE4MzUxXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,https://www.youtube.com/watch?v=07Y4_6PD0Z4
Game,"Action, Crime, Drama, Mystery, Thriller",01:55:00,Abhinay Deo,2011-04-01,"A tycoon accuses three strangers of killing his daughter but mysteriously dies before he can expose them, sparking a tangled hunt for the real culprit.",https://m.media-amazon.com/images/M/MV5BY2E1NmIyNmEtOTFhZS00MjM0LWJkM2UtYzc2NWNlMjM5ZGNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=P4jvR6MiFFI
The Jewel of the Nile,"Action, Adventure, Comedy, Romance",01:54:00,Lewis Teague,1985-12-11,"When romance writer Joan is abducted by a sheik and imprisoned with a luckless spiritual leader, Jack and his new partner, Ralph, come to her rescue.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzY3NDVkOTItYjZhMi00YzgwLWFkZDktNzBiZGNmYjFlMDRjL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=UlOdlRm-rHI
Empire of Lust,"Action, Drama, Romance",00:55:00,Sang-hoon Ahn,2015-03-05,"In 1398 Korea, three men -- a prince, a general and a son-in-law to the king -- clash for political and military power amid a dynastic transition.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjk5ODU1NDIxN15BMl5BanBnXkFtZTgwOTE3MDQ5NDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=3vHLlfz9Www
The Kindergarten Teacher,Drama,00:56:00,Sara Colangelo,2018-10-12,A devoted teacher takes interest in a young students creative potential after hearing his poetry. But she soon crosses the line into obsession.,https://m.media-amazon.com/images/M/MV5BZDIxNjIwNjktZTQzNS00ODI1LTkyZGItNDhkYjJlM2FhODcyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=8n1NP6w5lXs
Robin Hood: Men in Tights,"Adventure, Comedy, Musical, Romance",01:51:00,Mel Brooks,1993-07-28,"In Mel Brookss goofy retelling of the classic tale, Prince John oppresses the people while Robin Hood steals from the rich and gives to the poor.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzkzODA3ODY4Ml5BMl5BanBnXkFtZTgwMzA1NjUwMjI@._V1_SX300.jpg,https://www.youtube.com/watch?v=dX4Ik-cyp-I
The Bullet Vanishes,"Action, Adventure, Drama, Mystery, Thriller",02:58:00,Chi-Leung Law,2012-08-14,"At a bullet factory in 30s Shanghai, two detectives investigate a girls death. But the boss undermines their work, and workers perish mysteriously.",https://m.media-amazon.com/images/M/MV5BMTQyNTEyMzY1OF5BMl5BanBnXkFtZTcwNzE1MTEzOA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=03NAGSuhXss
I Am Vengeance: Retaliation,Action,01:54:00,Ross Boyask,2020-07-13,"To clear his criminal record, an ex-special forces soldier agrees to lead a team to retrieve a double-crossing mercenary and deliver him to justice.",https://m.media-amazon.com/images/M/MV5BMjNjN2E2NTAtMzY4OC00Yzg2LWE1ZTQtODAyMzdiYjEwOTk4XkEyXkFqcGdeQXVyMjEwNjUxOA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=MkBxxKWsZjs
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"Adventure, Comedy, Crime",01:57:00,"Felix Herngren, Måns Herngren",2017-04-25,"In need of money, an eccentric ex-spy and his younger octogenarian partner embark on an international quest for a valuable Soviet soda formula.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3MzE1Mzc0M15BMl5BanBnXkFtZTgwMTg4Njg0MDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=mN83l9Des3M
Blue Iguana,"Action, Comedy, Crime, Romance, Thriller",00:52:00,Hadi Hajaig,2018-08-24,"Hapless ex-cons are recruited to travel from Brooklyn to London, where they try to steal a priceless gem thats also sought by a psychotic crime lord.",https://m.media-amazon.com/images/M/MV5BN2Y0ZmEwODAtODQzOC00ZjcwLTg5MjMtMWM3OTM0YmUzYWQ2XkEyXkFqcGdeQXVyNzM5Mjg3ODg@._V1_SX300.jpg,https://www.youtube.com/watch?v=1ZIcL95jWSA
Forbidden City Cop,"Action, Comedy, Fantasy, Romance, Thriller",00:57:00,"Stephen Chow, Vincent Kok",1996-02-16,"When the emperor is abducted, royal guard Fat, clueless about kung fu, saves the day with his unusual hobby: tinkering with futuristic inventions.",https://m.media-amazon.com/images/M/MV5BZThhZjZmMjktOWVkMC00OWM3LTkxMTUtMGNiMzE0Mjg3OTkzXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=UBNymeViWFo
The Legend of Michael Mishra,"Comedy, Drama",01:52:00,Manish Jha,2016-08-05,"After a life of crime, a notorious kidnapper tries to change his ways and turn over a new leaf to win the heart of the woman he loves.",https://m.media-amazon.com/images/M/MV5BYzU0ZjQ1NWItMjM2Yy00ODcyLThlNWQtMzMyZjE3YzhiMTc1XkEyXkFqcGdeQXVyMTk4NzY0NDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=6DHjuzqjIgk
